region;date_cutoff;remove_datefrom;remove_dateto;end_date
Abruzzo;2020-03-15;;;
Basilicata;2020-03-22;;;
Calabria;2020-03-15;;;
Campania;2020-03-22;;;
Emilia-Romagna;2020-03-15;2020-03-28;2020-03-30;
Friuli Venezia Giulia;2020-03-22;;;
Lazio;NA;;;
Liguria;2020-03-15;;;
Lombardia;2020-03-15;;;
Marche;2020-03-22;;;
Molise;NA;;;
P.A. Bolzano;2020-03-15;;;
P.A. Trento;2020-03-22;;;
Piemonte;2020-03-15;;;
Puglia;2020-03-22;;;
Sardegna;2020-03-22;;;
Sicilia;2020-03-15;;;
Toscana;2020-03-08;;;
Umbria;2020-03-15;;;
Valle d'Aosta;NA;;;
Veneto;2020-03-22;;;
Italy;2020-03-15;;;
